DEFB128	ENSG00000185982	ENSP00000335382
URB1	ENSG00000142207	ENSP00000372199
GINS1	ENSG00000101003	ENSP00000262460
SYT4	ENSG00000132872	ENSP00000255224
OSM	ENSG00000099985	ENSP00000215781
PSTPIP2	ENSG00000152229	ENSP00000387261
GALR1	ENSG00000166573	ENSP00000299727
MRPL39	ENSG00000154719	ENSP00000305682
DHX15	ENSG00000109606	ENSP00000336741
MSX1	ENSG00000163132	ENSP00000372170
RPS6KA6	ENSG00000072133	ENSP00000262752
BMP4	ENSG00000125378	ENSP00000245451
DOK6	ENSG00000206052	ENSP00000372160
AKR1C3	ENSG00000196139	ENSP00000369927
TUBAL3	ENSG00000178462	ENSP00000369784
CIPC	ENSG00000198894	ENSP00000355319
IFNA6	ENSG00000120235	ENSP00000369558
GGT7	ENSG00000131067	ENSP00000338964
LMO7	ENSG00000136153	ENSP00000433352
STARD13	ENSG00000133121	ENSP00000338785
MKKS	ENSG00000125863	ENSP00000246062
PDRG1	ENSG00000088356	ENSP00000202017
IGSF5	ENSG00000183067	ENSP00000369962
PCDH7	ENSG00000169851	ENSP00000441802
VPS13A	ENSG00000197969	ENSP00000353422
TPX2	ENSG00000088325	ENSP00000300403
ACR	ENSG00000100312	ENSP00000216139
RIOK1	ENSG00000124784	ENSP00000369162
H2AZ1	ENSG00000164032	ENSP00000296417
PARVB	ENSG00000188677	ENSP00000384515
BMF	ENSG00000104081	ENSP00000346697
IRAK1BP1	ENSG00000146243	ENSP00000358956
CHEK2	ENSG00000183765	ENSP00000372023
PYGL	ENSG00000100504	ENSP00000216392
COMT	ENSG00000093010	ENSP00000354511
OR4S1	ENSG00000176555	ENSP00000321447
CLEC4D	ENSG00000166527	ENSP00000299665
FLNA	ENSG00000196924	ENSP00000358866
OSTC	ENSG00000198856	ENSP00000426167
PCGF5	ENSG00000180628	ENSP00000445704
LRRC4C	ENSG00000148948	ENSP00000278198
FBXO39	ENSG00000177294	ENSP00000321386
CD164	ENSG00000135535	ENSP00000309376
PTPN3	ENSG00000070159	ENSP00000363667
ZCCHC3	ENSG00000247315	ENSP00000484056
SUZ12	ENSG00000178691	ENSP00000316578
SLC39A2	ENSG00000165794	ENSP00000298681
ZNF219	ENSG00000165804	ENSP00000354206
LRP4	ENSG00000134569	ENSP00000367888
PPP1R1A	ENSG00000135447	ENSP00000257905
MOCS3	ENSG00000124217	ENSP00000244051
LAMP2	ENSG00000005893	ENSP00000408411
COX5A	ENSG00000178741	ENSP00000317780
PTPN13	ENSG00000163629	ENSP00000394794
CLU	ENSG00000120885	ENSP00000315130
YAP1	ENSG00000137693	ENSP00000478927
TNFRSF6B	ENSG00000243509	ENSP00000359013
C5	ENSG00000106804	ENSP00000223642
	ENSG00000273049	ENSP00000476742
UVRAG	ENSG00000198382	ENSP00000348455
GSPT1	ENSG00000103342	ENSP00000398131
NPY5R	ENSG00000164129	ENSP00000423917
DPP7	ENSG00000176978	ENSP00000360635
KCNE5	ENSG00000176076	ENSP00000361173
PGK1	ENSG00000102144	ENSP00000362413
TCAP	ENSG00000173991	ENSP00000312624
RARG	ENSG00000172819	ENSP00000388510
PDS5B	ENSG00000083642	ENSP00000313851
MATK	ENSG00000007264	ENSP00000378485
ADO	ENSG00000181915	ENSP00000362888
