File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
56e01b79-c2ca-4bd8-a185-a36a657c1e45	55b1a302-94fd-4067-a75b-825b69049eb1.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-BF-A1PV	TCGA-BF-A1PV-01A	Primary Tumor
93e8a506-f2a4-4001-b035-352dc010e81c	07f2753b-1e28-4703-a734-312be3391911.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EE-A2A1	TCGA-EE-A2A1-06A	Metastatic
53f11554-9761-4bbb-b884-fd6ffe7cdbd6	0d9f2953-424e-4008-bd7d-719a7e7ef4a1.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-GN-A264	TCGA-GN-A264-06A	Metastatic
183dc7aa-78d7-4f8f-b0cc-9d259b78153a	886ce1a5-45f8-445c-b382-b77d1fe4b726.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-W3-AA1O	TCGA-W3-AA1O-06A	Metastatic
4f0367a4-3fde-4f68-8a0d-97a5b186d25d	6e521f1c-950a-41d3-b9ed-cb701d7d33da.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EB-A5FP	TCGA-EB-A5FP-01A	Primary Tumor
a5852116-c374-45a6-ab5f-02da87720085	51b1c6f9-192d-4502-9396-a04d2a497089.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-FS-A1ZW	TCGA-FS-A1ZW-06A	Metastatic
e2d7443c-e103-401c-8aa3-5f830f10c8da	f80a155e-b286-4030-875d-9254c9c83cd8.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EE-A20C	TCGA-EE-A20C-06A	Metastatic
e5075809-f3e2-4cc1-b551-f9f5ce49e64a	3b0c5062-fe86-49d7-a47e-4c3378c2a11a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-EE-A29B	TCGA-EE-A29B-06A	Metastatic
babf6817-50a0-4c09-b189-32c849921dbd	7af6fe49-0346-42ff-bb0c-c671cdf9d09a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-FR-A3R1	TCGA-FR-A3R1-01A	Primary Tumor
6b522787-1111-4e39-ba2d-1edb35e51444	cb98ce67-3cdd-4527-b976-305eee2dcde4.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-SKCM	TCGA-D3-A1QB	TCGA-D3-A1QB-06A	Metastatic
