idx	rho	beta	gamma	method	metric	perf
0	0.2	-inf	-inf	Naive	Prec@100	0.0
0	0.2	-inf	-inf	Naive	Prec@200	0.0
0	0.2	-inf	-inf	Naive	AveP	0.034365193659413394
0	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
0	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
0	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06992322015580117
0	0.2	-inf	-inf	mND	Prec@100	0.17
0	0.2	-inf	-inf	mND	Prec@200	0.135
0	0.2	-inf	-inf	mND	AveP	0.07973347202998131
0	0.2	-inf	-inf	RWR	Prec@100	0.16
0	0.2	-inf	-inf	RWR	Prec@200	0.14
0	0.2	-inf	-inf	RWR	AveP	0.07883860432302225
1	0.2	-inf	-inf	Naive	Prec@100	0.0
1	0.2	-inf	-inf	Naive	Prec@200	0.0
1	0.2	-inf	-inf	Naive	AveP	0.03581769510799053
1	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
1	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.145
1	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07585640265355659
1	0.2	-inf	-inf	mND	Prec@100	0.19
1	0.2	-inf	-inf	mND	Prec@200	0.15
1	0.2	-inf	-inf	mND	AveP	0.08495572139017621
1	0.2	-inf	-inf	RWR	Prec@100	0.17
1	0.2	-inf	-inf	RWR	Prec@200	0.155
1	0.2	-inf	-inf	RWR	AveP	0.08365650132710548
2	0.2	-inf	-inf	Naive	Prec@100	0.0
2	0.2	-inf	-inf	Naive	Prec@200	0.0
2	0.2	-inf	-inf	Naive	AveP	0.034312945610858486
2	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
2	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.145
2	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07655344771122856
2	0.2	-inf	-inf	mND	Prec@100	0.21
2	0.2	-inf	-inf	mND	Prec@200	0.155
2	0.2	-inf	-inf	mND	AveP	0.08658383538706262
2	0.2	-inf	-inf	RWR	Prec@100	0.19
2	0.2	-inf	-inf	RWR	Prec@200	0.15
2	0.2	-inf	-inf	RWR	AveP	0.08616316249958694
3	0.2	-inf	-inf	Naive	Prec@100	0.0
3	0.2	-inf	-inf	Naive	Prec@200	0.0
3	0.2	-inf	-inf	Naive	AveP	0.03510273974942073
3	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
3	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
3	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07375709914779029
3	0.2	-inf	-inf	mND	Prec@100	0.19
3	0.2	-inf	-inf	mND	Prec@200	0.14
3	0.2	-inf	-inf	mND	AveP	0.08274549180565477
3	0.2	-inf	-inf	RWR	Prec@100	0.17
3	0.2	-inf	-inf	RWR	Prec@200	0.145
3	0.2	-inf	-inf	RWR	AveP	0.08252658100074786
4	0.2	-inf	-inf	Naive	Prec@100	0.0
4	0.2	-inf	-inf	Naive	Prec@200	0.0
4	0.2	-inf	-inf	Naive	AveP	0.03436109900727009
4	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
4	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
4	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07149531322445599
4	0.2	-inf	-inf	mND	Prec@100	0.19
4	0.2	-inf	-inf	mND	Prec@200	0.14
4	0.2	-inf	-inf	mND	AveP	0.08165633972688344
4	0.2	-inf	-inf	RWR	Prec@100	0.17
4	0.2	-inf	-inf	RWR	Prec@200	0.145
4	0.2	-inf	-inf	RWR	AveP	0.08147703971231504
5	0.2	-inf	-inf	Naive	Prec@100	0.0
5	0.2	-inf	-inf	Naive	Prec@200	0.0
5	0.2	-inf	-inf	Naive	AveP	0.0362218016932863
5	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
5	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.155
5	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0779048448089019
5	0.2	-inf	-inf	mND	Prec@100	0.22
5	0.2	-inf	-inf	mND	Prec@200	0.155
5	0.2	-inf	-inf	mND	AveP	0.08778011994547942
5	0.2	-inf	-inf	RWR	Prec@100	0.21
5	0.2	-inf	-inf	RWR	Prec@200	0.155
5	0.2	-inf	-inf	RWR	AveP	0.08614732644057482
6	0.2	-inf	-inf	Naive	Prec@100	0.0
6	0.2	-inf	-inf	Naive	Prec@200	0.0
6	0.2	-inf	-inf	Naive	AveP	0.03459324755349044
6	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
6	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
6	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07779581954434266
6	0.2	-inf	-inf	mND	Prec@100	0.22
6	0.2	-inf	-inf	mND	Prec@200	0.165
6	0.2	-inf	-inf	mND	AveP	0.08719909617093877
6	0.2	-inf	-inf	RWR	Prec@100	0.21
6	0.2	-inf	-inf	RWR	Prec@200	0.165
6	0.2	-inf	-inf	RWR	AveP	0.08662352341552636
7	0.2	-inf	-inf	Naive	Prec@100	0.0
7	0.2	-inf	-inf	Naive	Prec@200	0.0
7	0.2	-inf	-inf	Naive	AveP	0.035671260708085836
7	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
7	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.135
7	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0743119440485654
7	0.2	-inf	-inf	mND	Prec@100	0.18
7	0.2	-inf	-inf	mND	Prec@200	0.135
7	0.2	-inf	-inf	mND	AveP	0.08376914604036353
7	0.2	-inf	-inf	RWR	Prec@100	0.16
7	0.2	-inf	-inf	RWR	Prec@200	0.13
7	0.2	-inf	-inf	RWR	AveP	0.08317061193482614
8	0.2	-inf	-inf	Naive	Prec@100	0.0
8	0.2	-inf	-inf	Naive	Prec@200	0.0
8	0.2	-inf	-inf	Naive	AveP	0.03556174725563248
8	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
8	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.145
8	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07471715560508806
8	0.2	-inf	-inf	mND	Prec@100	0.19
8	0.2	-inf	-inf	mND	Prec@200	0.15
8	0.2	-inf	-inf	mND	AveP	0.08438865035941526
8	0.2	-inf	-inf	RWR	Prec@100	0.17
8	0.2	-inf	-inf	RWR	Prec@200	0.15
8	0.2	-inf	-inf	RWR	AveP	0.08363886081006405
