idx	rho	beta	gamma	method	metric	perf
0	0.2	-inf	-inf	Naive	Prec@100	0.0
0	0.2	-inf	-inf	Naive	Prec@200	0.01
0	0.2	-inf	-inf	Naive	AveP	0.025722650800406158
0	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
0	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
0	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06818964040512945
0	0.2	-inf	-inf	mND	Prec@100	0.18
0	0.2	-inf	-inf	mND	Prec@200	0.18
0	0.2	-inf	-inf	mND	AveP	0.08981036869453193
0	0.2	-inf	-inf	RWR	Prec@100	0.21
0	0.2	-inf	-inf	RWR	Prec@200	0.19
0	0.2	-inf	-inf	RWR	AveP	0.08723352653063014
1	0.2	-inf	-inf	Naive	Prec@100	0.0
1	0.2	-inf	-inf	Naive	Prec@200	0.005
1	0.2	-inf	-inf	Naive	AveP	0.02601821799638559
1	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
1	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.17
1	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06768422752570404
1	0.2	-inf	-inf	mND	Prec@100	0.2
1	0.2	-inf	-inf	mND	Prec@200	0.18
1	0.2	-inf	-inf	mND	AveP	0.09181122360125997
1	0.2	-inf	-inf	RWR	Prec@100	0.22
1	0.2	-inf	-inf	RWR	Prec@200	0.185
1	0.2	-inf	-inf	RWR	AveP	0.08802176027062866
2	0.2	-inf	-inf	Naive	Prec@100	0.0
2	0.2	-inf	-inf	Naive	Prec@200	0.005
2	0.2	-inf	-inf	Naive	AveP	0.025572201442102725
2	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
2	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.165
2	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06650659485345747
2	0.2	-inf	-inf	mND	Prec@100	0.18
2	0.2	-inf	-inf	mND	Prec@200	0.165
2	0.2	-inf	-inf	mND	AveP	0.09004106124649175
2	0.2	-inf	-inf	RWR	Prec@100	0.2
2	0.2	-inf	-inf	RWR	Prec@200	0.185
2	0.2	-inf	-inf	RWR	AveP	0.085936956857816
3	0.2	-inf	-inf	Naive	Prec@100	0.0
3	0.2	-inf	-inf	Naive	Prec@200	0.01
3	0.2	-inf	-inf	Naive	AveP	0.025539860993197862
3	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
3	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.18
3	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07000791077485986
3	0.2	-inf	-inf	mND	Prec@100	0.18
3	0.2	-inf	-inf	mND	Prec@200	0.175
3	0.2	-inf	-inf	mND	AveP	0.09231350262569005
3	0.2	-inf	-inf	RWR	Prec@100	0.21
3	0.2	-inf	-inf	RWR	Prec@200	0.19
3	0.2	-inf	-inf	RWR	AveP	0.09047044685832102
4	0.2	-inf	-inf	Naive	Prec@100	0.0
4	0.2	-inf	-inf	Naive	Prec@200	0.005
4	0.2	-inf	-inf	Naive	AveP	0.025659465958978993
4	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
4	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.175
4	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06970164337548494
4	0.2	-inf	-inf	mND	Prec@100	0.19
4	0.2	-inf	-inf	mND	Prec@200	0.175
4	0.2	-inf	-inf	mND	AveP	0.09136649831460027
4	0.2	-inf	-inf	RWR	Prec@100	0.22
4	0.2	-inf	-inf	RWR	Prec@200	0.185
4	0.2	-inf	-inf	RWR	AveP	0.08824669579334012
5	0.2	-inf	-inf	Naive	Prec@100	0.0
5	0.2	-inf	-inf	Naive	Prec@200	0.01
5	0.2	-inf	-inf	Naive	AveP	0.0259788757083444
5	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
5	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
5	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0700540948467657
5	0.2	-inf	-inf	mND	Prec@100	0.2
5	0.2	-inf	-inf	mND	Prec@200	0.165
5	0.2	-inf	-inf	mND	AveP	0.09114597166527708
5	0.2	-inf	-inf	RWR	Prec@100	0.22
5	0.2	-inf	-inf	RWR	Prec@200	0.2
5	0.2	-inf	-inf	RWR	AveP	0.08961898377867003
6	0.2	-inf	-inf	Naive	Prec@100	0.0
6	0.2	-inf	-inf	Naive	Prec@200	0.005
6	0.2	-inf	-inf	Naive	AveP	0.025526267424444922
6	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
6	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.17
6	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06824821149108554
6	0.2	-inf	-inf	mND	Prec@100	0.19
6	0.2	-inf	-inf	mND	Prec@200	0.165
6	0.2	-inf	-inf	mND	AveP	0.08891178821569032
6	0.2	-inf	-inf	RWR	Prec@100	0.22
6	0.2	-inf	-inf	RWR	Prec@200	0.18
6	0.2	-inf	-inf	RWR	AveP	0.08798196231806632
7	0.2	-inf	-inf	Naive	Prec@100	0.0
7	0.2	-inf	-inf	Naive	Prec@200	0.0
7	0.2	-inf	-inf	Naive	AveP	0.02595316644161425
7	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
7	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.17
7	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06450368425692571
7	0.2	-inf	-inf	mND	Prec@100	0.18
7	0.2	-inf	-inf	mND	Prec@200	0.16
7	0.2	-inf	-inf	mND	AveP	0.08757352933125044
7	0.2	-inf	-inf	RWR	Prec@100	0.21
