idx	rho	beta	gamma	method	metric	perf
0	0.2	-inf	-inf	Naive	Prec@100	0.0
0	0.2	-inf	-inf	Naive	Prec@200	0.0
0	0.2	-inf	-inf	Naive	AveP	0.03703813812870868
0	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
0	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.11
0	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06262580227701152
0	0.2	-inf	-inf	mND	Prec@100	0.16
0	0.2	-inf	-inf	mND	Prec@200	0.14
0	0.2	-inf	-inf	mND	AveP	0.085725265864303
0	0.2	-inf	-inf	RWR	Prec@100	0.18
0	0.2	-inf	-inf	RWR	Prec@200	0.15
0	0.2	-inf	-inf	RWR	AveP	0.08093422803243079
1	0.2	-inf	-inf	Naive	Prec@100	0.0
1	0.2	-inf	-inf	Naive	Prec@200	0.0
1	0.2	-inf	-inf	Naive	AveP	0.037850588914077256
1	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
1	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.115
1	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06462847735562424
1	0.2	-inf	-inf	mND	Prec@100	0.17
1	0.2	-inf	-inf	mND	Prec@200	0.145
1	0.2	-inf	-inf	mND	AveP	0.08833984271388058
1	0.2	-inf	-inf	RWR	Prec@100	0.17
1	0.2	-inf	-inf	RWR	Prec@200	0.14
1	0.2	-inf	-inf	RWR	AveP	0.08263871805098404
2	0.2	-inf	-inf	Naive	Prec@100	0.0
2	0.2	-inf	-inf	Naive	Prec@200	0.0
2	0.2	-inf	-inf	Naive	AveP	0.03733246821532419
2	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
2	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.11
2	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06357448072994777
2	0.2	-inf	-inf	mND	Prec@100	0.16
2	0.2	-inf	-inf	mND	Prec@200	0.145
2	0.2	-inf	-inf	mND	AveP	0.08841404152222035
2	0.2	-inf	-inf	RWR	Prec@100	0.18
2	0.2	-inf	-inf	RWR	Prec@200	0.15
2	0.2	-inf	-inf	RWR	AveP	0.08249469075404214
3	0.2	-inf	-inf	Naive	Prec@100	0.0
3	0.2	-inf	-inf	Naive	Prec@200	0.0
3	0.2	-inf	-inf	Naive	AveP	0.036902659877165817
3	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.13
3	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.12
3	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06068347497424455
3	0.2	-inf	-inf	mND	Prec@100	0.15
3	0.2	-inf	-inf	mND	Prec@200	0.135
3	0.2	-inf	-inf	mND	AveP	0.0828161091178494
3	0.2	-inf	-inf	RWR	Prec@100	0.18
3	0.2	-inf	-inf	RWR	Prec@200	0.135
3	0.2	-inf	-inf	RWR	AveP	0.0773424081784832
4	0.2	-inf	-inf	Naive	Prec@100	0.0
4	0.2	-inf	-inf	Naive	Prec@200	0.0
4	0.2	-inf	-inf	Naive	AveP	0.03839700688428269
4	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
4	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
4	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06596924233201189
4	0.2	-inf	-inf	mND	Prec@100	0.17
4	0.2	-inf	-inf	mND	Prec@200	0.155
4	0.2	-inf	-inf	mND	AveP	0.0912596064923577
4	0.2	-inf	-inf	RWR	Prec@100	0.22
4	0.2	-inf	-inf	RWR	Prec@200	0.165
4	0.2	-inf	-inf	RWR	AveP	0.0873773356979697
5	0.2	-inf	-inf	Naive	Prec@100	0.0
5	0.2	-inf	-inf	Naive	Prec@200	0.0
5	0.2	-inf	-inf	Naive	AveP	0.0380778373937369
5	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
5	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
5	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06639485646254997
5	0.2	-inf	-inf	mND	Prec@100	0.17
5	0.2	-inf	-inf	mND	Prec@200	0.165
5	0.2	-inf	-inf	mND	AveP	0.08853411524504874
5	0.2	-inf	-inf	RWR	Prec@100	0.2
5	0.2	-inf	-inf	RWR	Prec@200	0.16
5	0.2	-inf	-inf	RWR	AveP	0.08491859378901918
6	0.2	-inf	-inf	Naive	Prec@100	0.0
6	0.2	-inf	-inf	Naive	Prec@200	0.0
6	0.2	-inf	-inf	Naive	AveP	0.03797483016721399
6	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
6	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
6	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06704539944041293
6	0.2	-inf	-inf	mND	Prec@100	0.19
6	0.2	-inf	-inf	mND	Prec@200	0.165
6	0.2	-inf	-inf	mND	AveP	0.09326072226128157
6	0.2	-inf	-inf	RWR	Prec@100	0.21
6	0.2	-inf	-inf	RWR	Prec@200	0.165
6	0.2	-inf	-inf	RWR	AveP	0.08655798746692131
7	0.2	-inf	-inf	Naive	Prec@100	0.0
7	0.2	-inf	-inf	Naive	Prec@200	0.0
7	0.2	-inf	-inf	Naive	AveP	0.03755249641580574
7	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
7	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
7	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06249815295058116
7	0.2	-inf	-inf	mND	Prec@100	0.16
7	0.2	-inf	-inf	mND	Prec@200	0.145
7	0.2	-inf	-inf	mND	AveP	0.08668704114344303
7	0.2	-inf	-inf	RWR	Prec@100	0.18
7	0.2	-inf	-inf	RWR	Prec@200	0.15
7	0.2	-inf	-inf	RWR	AveP	0.08078283813774656
8	0.2	-inf	-inf	Naive	Prec@100	0.0
8	0.2	-inf	-inf	Naive	Prec@200	0.0
8	0.2	-inf	-inf	Naive	AveP	0.037439748543662305
8	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
8	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
8	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07000509701334866
8	0.2	-inf	-inf	mND	Prec@100	0.2
8	0.2	-inf	-inf	mND	Prec@200	0.19
8	0.2	-inf	-inf	mND	AveP	0.09769889889943782
8	0.2	-inf	-inf	RWR	Prec@100	0.25
8	0.2	-inf	-inf	RWR	Prec@200	0.185
8	0.2	-inf	-inf	RWR	AveP	0.09148967746229314
