id	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
A0A024R172	12.36979792860992	12.454881951875658	12.258877425290844	12.1801320240941	12.335013953100463	12.249905344436335	11.273792560642267	11.278598883625438	11.277634316281366	11.28124825504829
A0A024R1L7	12.081245425468966	12.10749878971264	11.930993534806147	11.827440695327063	11.953070318538977	11.846677842957867	11.260763586762897	11.261375736284364	11.262164650058338	11.262292707967797
A0A024R3K8	11.446458929687273	11.443473813064967	11.352397184700733	11.31889165716859	11.350918790083263	11.317979523367908	11.257528447079576	11.25786505190976	11.257956426156086	11.258146162555967
A0A024R5S0	15.331987419298848	15.689722226347486	15.052881209662608	14.850466578000741	15.387681317429095	15.168672798712036	11.36940297988406	11.396553674255049	11.397005547959361	11.419761883592413
A0A024R6G0	11.637624488043476	11.618949194362685	11.523941546927363	11.463661000489134	11.51127609817365	11.454147030137923	11.266371813842616	11.26740869102337	11.267989582261205	11.268370307725144
A0A024R8L2	25.76324445885265	27.069838105458278	25.34235881109483	24.982567542606223	26.616157385790327	26.23051223035056	12.804538867623423	13.223939343082108	13.27290756821043	13.63370198772146
A0A024R8V0	12.542726090011827	12.746929210002452	12.51555446237323	12.511371595195703	12.715486825753251	12.711000533192493	11.321358900535953	11.348065443720136	11.350087975867185	11.376281322075592
A0A024R8W1	11.880958780766388	11.967766290522869	11.66924394442506	11.597754484395994	11.72449573909164	11.642618967981557	11.257891061490875	11.258702357963244	11.258554600664777	11.25936207333041
A0A024R9F6	11.898038741183216	12.011205898683171	11.764240330025777	11.698429243123423	11.854167284764085	11.777187316162852	11.25683035129772	11.257345508244343	11.257340134080039	11.25792464413202
A0A024RA76	13.665067660939519	13.929188417142125	13.241341517828186	12.979690116390195	13.463231609498285	13.175351473788815	11.271865518525706	11.274860753046617	11.27658421214837	11.279894945580901
A0A024RBF6	11.697679626994175	11.760668601620356	11.4714829377154	11.400861391234498	11.502547528105962	11.42183463647672	11.256250219482444	11.256320904887122	11.25637680947735	11.256454071484297
A0A024RCM5	11.680895847183747	11.640070855651231	11.536503530107899	11.448648797016164	11.509883760402001	11.430604792982795	11.258508826930855	11.258255553214166	11.258554321907202	11.258132335699926
