id	name	prior	degree	curv_mean	curv_std
ENSG00000000003		False	54.0	-202.24074074074073	296.8639129039373
ENSG00000000005		False	16.0	-156.8125	218.86903011561503
ENSG00000000419	DPM1	False	89.0	-624.8876404494382	537.0062966634845
ENSG00000000457	SCYL3	False	62.0	-323.9516129032258	300.196786395049
ENSG00000000938	FGR	False	70.0	-350.0	319.8327688026979
ENSG00000000971	CFH	False	28.0	-211.03571428571428	215.23433776482142
ENSG00000001036	FUCA2	False	32.0	-316.71875	385.53057874627467
ENSG00000001084		False	15.0	-446.46666666666664	535.6812319114999
ENSG00000001460		False	2.0	-41.5	8.5
ENSG00000001461		False	15.0	-412.3333333333333	451.2889195281543
ENSG00000001497	LAS1L	False	88.0	-550.9090909090909	466.1775567987051
ENSG00000001561	ENPP4	False	16.0	-187.1875	158.3501731724661
ENSG00000001617	SEMA3F	False	7.0	-534.0	507.9749712619426
ENSG00000001626	CFTR	False	706.0	-804.3753541076487	124.32136194411433
ENSG00000001629		False	8.0	-995.125	878.9259692232333
ENSG00000001630	CYP51A1	False	87.0	-292.2528735632184	293.0912618607026
ENSG00000001631	KRIT1	False	24.0	-267.625	306.4818934972614
ENSG00000002016	RAD52	False	55.0	-382.5272727272727	326.54265234675375
ENSG00000002330	BAD	False	91.0	-310.86813186813185	239.6255874718628
ENSG00000002549	LAP3	False	75.0	-348.81333333333333	422.92015616294395
ENSG00000002586	CD99	False	44.0	-420.8181818181818	255.43236720289784
ENSG00000002726	AOC1	False	8.0	-130.25	107.57991215835789
ENSG00000002745	WNT16	False	27.0	-152.88888888888889	139.76656022820583
ENSG00000002822	MAD1L1	False	104.0	-355.9423076923077	384.1293809213014
ENSG00000002834	LASP1	True	187.0	-405.39572192513367	328.43357541157985
ENSG00000002919		False	30.0	-98.63333333333334	56.106139493721095
ENSG00000002933		False	14.0	-117.85714285714286	74.46078271993456
ENSG00000003056	M6PR	False	35.0	-294.0285714285714	387.46616336797985
ENSG00000003096		False	62.0	-296.4193548387097	449.90692759320564
ENSG00000003137	CYP26B1	False	27.0	-265.7037037037037	421.11965527668815
ENSG00000003147	ICA1	False	20.0	-183.0	174.69029738368414
ENSG00000003249		False	3.0	-211.33333333333334	29.63481436119049
ENSG00000003393	ALS2	False	20.0	-244.6	265.55910829794556
ENSG00000003400	CASP10	False	43.0	-169.27906976744185	223.40424571566638
ENSG00000003402	CFLAR	False	52.0	-253.34615384615384	301.9878299009482
ENSG00000003436	TFPI	False	12.0	-437.1666666666667	665.6434021973694
ENSG00000003509	NDUFAF7	False	59.0	-237.40677966101694	282.9649387542663
ENSG00000003756	RBM5	False	92.0	-472.0978260869565	421.25268828409685
ENSG00000003989		False	73.0	-312.17808219178085	192.85577991954716
ENSG00000004059	ARF5	False	115.0	-377.68695652173915	405.236642946303
ENSG00000004399	PLXND1	False	15.0	-567.6	777.9781316549543
ENSG00000004455	AK2	False	106.0	-327.72641509433964	304.20135253997216
ENSG00000004478	FKBP4	False	147.0	-455.19727891156464	415.1780806257135
ENSG00000004487	KDM1A	False	452.0	-585.6747787610619	280.45447942153805
ENSG00000004534		False	64.0	-531.015625	606.9954306919117
ENSG00000004660	CAMKK1	False	27.0	-310.6666666666667	402.39680066469856
ENSG00000004700	RECQL	False	58.0	-514.8103448275862	557.1441792253678
ENSG00000004766	VPS50	False	90.0	-298.52222222222224	443.81811158721257
ENSG00000004776	HSPB6	False	11.0	-192.36363636363637	175.65010298228108
ENSG00000004777	ARHGAP33	False	5.0	-389.8	241.54287404102817
ENSG00000004779	NDUFAB1	False	127.0	-255.78740157480314	254.07530751437412
ENSG00000004799	PDK4	False	7.0	-139.14285714285714	96.84808217207073
ENSG00000004809	SLC22A16	False	30.0	-165.63333333333333	197.7258174566207
ENSG00000004838	ZMYND10	False	15.0	-145.86666666666667	140.58395672653722
ENSG00000004846		False	9.0	-200.11111111111111	101.3283380835067
ENSG00000004848		False	27.0	-178.74074074074073	105.21427610237879
ENSG00000004864	SLC25A13	False	164.0	-545.8170731707318	453.2565264096007
ENSG00000004866		False	326.0	-396.41104294478527	124.3826586290224
ENSG00000004897	CDC27	False	167.0	-393.22754491017963	400.2900696246165
ENSG00000004939	SLC4A1	False	23.0	-162.95652173913044	155.52700821257338
ENSG00000004948		False	5.0	-195.6	210.7971536809736
ENSG00000004961	HCCS	False	94.0	-256.9148936170213	343.12250958905446
ENSG00000004975	DVL2	False	214.0	-411.35981308411215	309.12061958147075
ENSG00000005001		False	13.0	-145.6153846153846	134.6856959234741
ENSG00000005007	UPF1	False	369.0	-541.0108401084011	314.46773526398295
ENSG00000005020	SKAP2	False	37.0	-231.51351351351352	340.9407193951894
ENSG00000005022	SLC25A5	False	252.0	-554.2261904761905	364.9133845215161
ENSG00000005059	MCUB	False	144.0	-239.4375	137.6075699806236
ENSG00000005073	HOXA11	True	6.0	-508.1666666666667	485.0977278400256
ENSG00000005075	POLR2J	False	114.0	-240.3421052631579	364.9952373865529
ENSG00000005100	DHX33	False	47.0	-655.6382978723404	639.713912970608
ENSG00000005102		False	99.0	-237.05050505050505	252.38124014778282
ENSG00000005108	THSD7A	False	19.0	-309.0	451.8660723803249
ENSG00000005156	LIG3	False	127.0	-515.3700787401575	497.84451614366964
ENSG00000005175	RPAP3	False	132.0	-359.93939393939394	369.5310451052826
ENSG00000005187	ACSM3	False	10.0	-161.8	131.70406220007035
ENSG00000005189	REXO5	False	28.0	-148.92857142857142	98.16383119612864
ENSG00000005194	CIAPIN1	False	58.0	-263.63793103448273	265.3558897337857
ENSG00000005206	SPPL2B	False	210.0	-290.0	161.87961429349133
ENSG00000005238		False	61.0	-278.60655737704917	294.1368744999636
ENSG00000005243	COPZ2	False	12.0	-132.58333333333334	108.00344001723073
ENSG00000005249	PRKAR2B	False	112.0	-266.48214285714283	247.98163750218544
ENSG00000005302	MSL3	False	21.0	-520.952380952381	631.4862646917438
ENSG00000005339	CREBBP	True	412.0	-539.997572815534	275.08747504411684
ENSG00000005379	TSPOAP1	False	22.0	-138.63636363636363	121.15450145636561
ENSG00000005381	MPO	False	40.0	-250.05	411.33678111737106
ENSG00000005436	GCFC2	False	42.0	-302.95238095238096	259.04071681981105
ENSG00000005448	WDR54	False	43.0	-133.8139534883721	199.66183688333066
ENSG00000005469	CROT	False	13.0	-132.84615384615384	88.06889449467839
ENSG00000005471	ABCB4	False	3.0	-311.0	429.9403059340525
ENSG00000005483	KMT2E	False	37.0	-551.3783783783783	620.6221530285579
ENSG00000005486	RHBDD2	False	86.0	-314.33720930232556	326.8121432682097
ENSG00000005513	SOX8	False	7.0	-220.57142857142858	331.1472944359426
ENSG00000005700	IBTK	False	100.0	-360.28	358.6416618297434
ENSG00000005801	ZNF195	False	52.0	-174.96153846153845	186.49025150212395
ENSG00000005810	MYCBP2	False	153.0	-397.29411764705884	443.48369678242193
ENSG00000005812	FBXL3	False	16.0	-219.6875	248.31852497095338
ENSG00000005844	ITGAL	False	9.0	-358.6666666666667	408.80231571424997
ENSG00000005882	PDK2	False	16.0	-157.0	146.48421416657837
ENSG00000005884	ITGA3	False	38.0	-354.7368421052632	331.18373690449795
ENSG00000005889		False	12.0	-896.5	842.2878071063358
ENSG00000005893	LAMP2	False	510.0	-591.2725490196078	174.53106423699643
ENSG00000005961	ITGA2B	False	17.0	-312.88235294117646	486.4183484291904
ENSG00000005981	ASB4	False	28.0	-315.5357142857143	281.7716251230592
ENSG00000006007	GDE1	False	28.0	-267.42857142857144	390.8089987057459
ENSG00000006015		False	18.0	-291.77777777777777	343.0473818189544
ENSG00000006016	CRLF1	False	63.0	-186.47619047619048	181.52098633691264
ENSG00000006025		False	8.0	-562.75	428.33274156898165
