id	prior	degree	curv_mean	curv_std
A0A024R172	False	8.0	-356.0	256.59501164286104
A0A024R1L7	False	5.0	-424.8	235.4632880089803
A0A024R3K8	False	1.0	-555.0	0.0
A0A024R5S0	False	21.0	-199.61904761904762	162.27591910971418
A0A024R6G0	False	2.0	-602.0	96.0
A0A024R8L2	False	81.0	-211.40740740740742	124.61751633389699
A0A024R8V0	False	8.0	-198.625	204.83098978181988
A0A024R8W1	False	2.0	-42.5	23.5
A0A024R9F6	False	4.0	-104.75	18.239723133863627
A0A024RA76	False	6.0	-244.16666666666666	314.87532806211135
A0A024RBF6	False	1.0	-420.0	0.0
A0A024RCM5	False	2.0	-835.5	421.5
A0A024RCN7	False	1.0	-1102.0	0.0
A0A024RCP2	False	20.0	-337.5	225.97223280748454
A0A024RCZ4	False	1.0	-6.0	0.0
A0A068LRW6	False	3.0	-135.0	123.82514553460724
A0A075B6P5	False	1.0	-229.0	0.0
A0A075B6R9	False	2.0	-650.5	155.5
A0A075B6S2	False	5.0	-335.4	246.6184096940048
A0A075B6S5	False	1.0	-375.0	0.0
A0A075B6S6	False	1.0	-213.0	0.0
A0A075B6Z2	False	2.0	-509.5	191.5
A0A075B759	False	1.0	-17.0	0.0
A0A075B7B6	False	2.0	-664.5	96.5
A0A075B7D8	False	9.0	-534.5555555555555	288.1712882263337
A0A087WUL8	False	223.0	-264.0269058295964	160.6605177592158
A0A087WW87	False	6.0	-400.0	250.1885955301187
A0A087WXM9	False	8.0	-225.75	166.2240581263735
A0A087WYV9	False	1.0	-102.0	0.0
A0A087WZ82	False	33.0	-100.93939393939394	75.82113697217882
A0A087WZY1	False	10.0	-191.0	135.2353504080941
A0A087X0R7	False	2.0	-1734.5	480.5
A0A087X1G2	False	2.0	-112.0	72.0
A0A096LP01	False	1.0	-921.0	0.0
A0A096LP39	False	1.0	-43.0	0.0
A0A096LP49	False	72.0	-264.2916666666667	144.3337603438641
A0A096LP55	False	2.0	-55.5	54.5
A0A096LPI5	False	5.0	-231.6	157.05616829656833
A0A096LPI6	False	1.0	-2153.0	0.0
A0A0A0MS14	False	1.0	-334.0	0.0
A0A0A0MS15	False	1.0	-2217.0	0.0
A0A0A0MT08	False	1.0	-2217.0	0.0
A0A0A0MT99	False	1.0	-300.0	0.0
A0A0A6YYA0	False	4.0	-1378.75	1148.1409702209917
A0A0A6YYC7	False	1.0	-1941.0	0.0
A0A0A6YYG9	False	16.0	-552.625	738.7682210104872
A0A0A6YYH1	False	1.0	-2217.0	0.0
A0A0A6YYL0	False	3.0	-1580.6666666666667	449.29599251372014
A0A0A6YYL4	False	4.0	-768.0	808.80312808495
A0A0A6YYL6	False	4.0	-805.0	784.6958009318006
A0A0B4J1V8	False	1.0	-2153.0	0.0
A0A0B4J1Y9	False	1.0	-894.0	0.0
A0A0B4J269	False	10.0	-252.3	179.851633298116
A0A0B4J295	False	1.0	-147.0	0.0
A0A0B4J2A2	False	4.0	-132.5	104.74850834260123
A0A0B4J2B8	False	1.0	-390.0	0.0
A0A0B4J2D5	False	361.0	-366.8836565096953	256.34177493683245
A0A0B4J2E5	False	3.0	-770.3333333333334	432.99756222049206
A0A0B4J2F0	False	2.0	-27.0	33.0
A0A0B4J2F2	False	6.0	-64.5	32.88743427714198
A0A0C4DH73	False	2.0	-1702.5	847.5
A0A0C5B5G6	False	2.0	-1214.5	1003.5
A0A0G2JN01	False	1.0	-31.0	0.0
A0A0K0K1J3	False	3.0	-927.3333333333334	872.6000738533597
A0A0K2S4Q6	False	2.0	-16.0	8.0
A0A0S2Z4P3	False	1.0	-397.0	0.0
A0A0S2Z605	False	1.0	-35.0	0.0
A0A0S2Z6B0	False	1.0	-103.0	0.0
A0A0S2Z6I7	False	2.0	-207.5	190.5
A0A0U1RQF7	False	8.0	-106.625	66.82615038291522
A0A0U1RR11	False	1.0	-1345.0	0.0
A0A0U1RRL7	False	2.0	-22.5	0.5
A0A0X9T7T4	False	1.0	-2153.0	0.0
A0A140G945	False	104.0	-215.1153846153846	156.99138313518426
A0A1B0GTR3	False	1.0	-312.0	0.0
A0A1B0GTU1	False	1.0	-291.0	0.0
A0A1B0GTZ2	False	40.0	-245.5	246.5175450145486
A0A1B0GUI7	False	1.0	-2217.0	0.0
A0A1B0GUV7	False	3.0	-60.666666666666664	39.20317447463775
A0A1B0GVH7	False	2.0	-978.5	748.5
A0A1B0GVQ3	False	1.0	-2217.0	0.0
A0A1B0GX68	False	3.0	-167.33333333333334	103.82784897233603
A0A1W2PQ73	False	1.0	-84.0	0.0
A0A1W2PQS6	False	3.0	-1204.3333333333333	847.4645846418729
A0A1W2PQU2	False	1.0	-2797.0	0.0
A0A1X8XL64	False	2.0	-284.0	207.0
A0A2K7P776	False	1.0	-351.0	0.0
A0A2R8Y422	False	1.0	-305.0	0.0
A0A2R8Y7D0	False	3.0	-1146.6666666666667	780.6221165768293
A0A2Z4LIS9	False	5.0	-599.6	1096.740735087377
A0A384ME25	False	40.0	-287.0	215.11845574008754
A0A3B3IRZ5	False	7.0	-127.57142857142857	93.04354916283197
A0A5B9	False	2.0	-47.0	38.0
A0A5S8K742	False	2.0	-398.5	99.5
A0A6I8PU40	False	3.0	-1364.0	1127.3618171051683
A0AUZ9	False	2.0	-254.5	103.5
A0AV02	False	3.0	-151.0	56.78027826631356
A0AV96	False	127.0	-302.51181102362204	435.5987980385457
A0AVF1	False	33.0	-191.6969696969697	342.91535176434684
A0AVI2	False	1.0	-274.0	0.0
A0AVI4	False	21.0	-320.2857142857143	402.1782526924791
A0AVK6	False	30.0	-420.46666666666664	495.90817250329275
A0AVT1	False	91.0	-352.6043956043956	453.933477217665
A0FGR8	False	73.0	-580.3013698630137	636.9376796880074
A0FGR9	False	6.0	-397.5	512.2013764136133
A0JLT2	False	148.0	-336.5945945945946	348.5371521907931
A0JNW5	False	23.0	-384.7391304347826	539.8942100393617
A0JP26	False	35.0	-137.68571428571428	103.07827024120247
A0M8Q6	False	7.0	-349.42857142857144	269.46235207107037
A0M8Q9	False	1.0	-42.0	0.0
A0MZ66	True	54.0	-365.85185185185185	512.7812112828617
A0N4Z6	False	10.0	-185.2	157.37776208854922
