id	name	uKIN	RWR
ENSG00000000003		3.2823725648924624e-06	4.7706142463787444e-05
ENSG00000000005		9.78537128149144e-07	3.3228320952266256e-06
ENSG00000000419	DPM1	6.216391204566918e-07	1.0649732358798274e-05
ENSG00000000457	SCYL3	4.148876809656609e-07	3.160913060205906e-06
ENSG00000000938	FGR	2.545696069677476e-06	4.962935734320476e-05
ENSG00000000971	CFH	1.127472403491713e-06	7.888150946798763e-06
ENSG00000001036	FUCA2	3.500661872406849e-07	1.094014882690857e-06
ENSG00000001084		3.8810645850227414e-07	5.471153169616739e-07
ENSG00000001460		4.797478285432679e-07	2.1081969271070913e-07
ENSG00000001461		1.236004603359213e-06	4.478170189035328e-06
ENSG00000001497	LAS1L	4.816434972921064e-07	5.932539394673327e-06
ENSG00000001561	ENPP4	6.655861988918726e-07	1.8397597995935354e-06
ENSG00000001617	SEMA3F	1.4895099096884738e-06	2.867379373638947e-06
ENSG00000001626	CFTR	3.9529787322846365e-07	2.5404661404341353e-05
ENSG00000001629		1.1865169480179004e-06	2.858121051560092e-06
ENSG00000001630	CYP51A1	4.67841525004237e-07	5.208745687642278e-06
ENSG00000001631	KRIT1	2.8593104255251735e-06	1.7761626549200494e-05
ENSG00000002016	RAD52	1.837548682433174e-06	2.9650762228361228e-05
ENSG00000002330	BAD	1.2899017138956498e-06	3.116825521963984e-05
ENSG00000002549	LAP3	6.472373796455498e-07	1.0817967300501948e-05
ENSG00000002586	CD99	4.6588195653657175e-07	2.1875897790478738e-06
ENSG00000002726	AOC1	1.7506737094368984e-06	3.7177631193539932e-06
ENSG00000002745	WNT16	1.2762008728622098e-06	8.804583178192014e-06
ENSG00000002822	MAD1L1	5.585330656615917e-07	1.101353217772717e-05
ENSG00000002834	LASP1	1.4834568681832867e-05	0.0013837757956567743
ENSG00000002919		1.5748554261890862e-06	1.1664045452142493e-05
ENSG00000002933		1.2433670989910124e-06	4.1913190900388615e-06
ENSG00000003056	M6PR	6.118051358185324e-07	5.869713604195176e-06
ENSG00000003096		1.3030058282356082e-06	2.125283861695522e-05
ENSG00000003137	CYP26B1	1.3610402512792799e-06	9.536315520041195e-06
ENSG00000003147	ICA1	7.169596877954482e-07	3.1907798420896033e-06
ENSG00000003249		4.3349588064974383e-07	1.8944044605030072e-07
ENSG00000003393	ALS2	3.23658687602712e-07	5.664350855898851e-07
ENSG00000003400	CASP10	2.079488032507057e-06	2.1621120141130902e-05
ENSG00000003402	CFLAR	1.4237017337345096e-06	1.6952203150768373e-05
ENSG00000003436	TFPI	7.644573198902924e-07	2.2733900270310074e-06
ENSG00000003509	NDUFAF7	7.419491779641742e-07	9.895703554862548e-06
ENSG00000003756	RBM5	9.181529728760649e-07	1.8016487446653877e-05
ENSG00000003989		5.387557631932495e-07	4.988812197267077e-06
ENSG00000004059	ARF5	4.453588897965804e-07	6.981046758983683e-06
ENSG00000004399	PLXND1	2.1945403964186586e-06	9.174446147863857e-06
ENSG00000004455	AK2	6.452468197640742e-07	1.453266740543293e-05
ENSG00000004478	FKBP4	1.1711158121477203e-06	4.21821679288913e-05
ENSG00000004487	KDM1A	6.45576513897052e-07	6.453440985575146e-05
ENSG00000004534		1.5680469290382884e-06	3.191091425038027e-05
ENSG00000004660	CAMKK1	3.1020386187094987e-06	2.6812117842390865e-05
ENSG00000004700	RECQL	1.1552308267300727e-06	1.8119132824502672e-05
ENSG00000004766	VPS50	6.946410911101998e-07	1.439928434320673e-05
ENSG00000004776	HSPB6	1.8185040115862358e-06	5.711077753576008e-06
ENSG00000004777	ARHGAP33	1.6571530518089432e-06	2.5394624482170634e-06
ENSG00000004779	NDUFAB1	4.790483755843748e-07	1.1156667743256387e-05
ENSG00000004799	PDK4	1.311548684211705e-06	2.5974664934385213e-06
ENSG00000004809	SLC22A16	4.037433215134759e-07	1.0438033235755264e-06
ENSG00000004838	ZMYND10	4.068169285971403e-06	1.659603098009162e-05
ENSG00000004846		4.231137763757934e-06	1.0928575662122042e-05
