id	name	uKIN	RWR
ENSP00000000233	ARF5	2.6951880724428377e-06	1.83877199308903e-05
ENSP00000000412	M6PR	2.655134899792999e-06	3.318328766006152e-05
ENSP00000001008	FKBP4	2.605549513339086e-06	2.7596205015877777e-05
ENSP00000001146	CYP26B1	7.982354039280659e-06	1.737795647691685e-05
ENSP00000002125	NDUFAF7	4.529427830124456e-06	3.1184307313908975e-06
ENSP00000002165	FUCA2	1.9908972471690243e-06	2.5354445821729602e-05
ENSP00000002596	HS3ST1	9.280492185695431e-06	1.6184441560394385e-05
ENSP00000002829	SEMA3F	4.367446590818684e-06	2.9640198587895543e-06
ENSP00000003084	CFTR	2.226685300815577e-06	6.165107241934511e-05
ENSP00000003100	CYP51A1	2.752566437683529e-06	2.3912764782636063e-06
ENSP00000003302	USP28	5.874117061511093e-06	2.186402729522701e-05
ENSP00000005178	PDK4	3.0129406839932053e-06	1.2254366036791293e-06
ENSP00000005226	USH1C	1.19259126670813e-05	2.2742566808486496e-05
ENSP00000005257	RALA	4.046576772069983e-06	4.807403828022605e-05
ENSP00000005260	BAIAP2L1	1.3236166809193242e-05	1.3134969908490726e-05
ENSP00000005284	CACNG3	3.3526848360176934e-06	2.7175167669240552e-05
ENSP00000005286	TMEM132A	2.6582021320677977e-06	2.026761111659732e-05
ENSP00000005340	DVL2	2.520078420889757e-06	4.627457996333946e-05
ENSP00000005386	RPAP3	1.567654707641464e-06	1.9424148021865047e-06
ENSP00000005587	SKAP2	7.3712849440584085e-06	9.59122842025221e-06
ENSP00000005995	PRSS21	1.329599925712129e-06	4.0105093373479505e-07
ENSP00000006015	HOXA11	0.0011725230811618491	0.0017483161702081887
ENSP00000006053	CX3CL1	2.283659020935378e-06	1.5504910258812132e-05
ENSP00000006275	TRAPPC6A	2.9848492839102063e-06	2.0805945153675842e-05
ENSP00000006526	WDR54	4.604629377468478e-07	9.653767235452228e-08
ENSP00000006724	CEACAM7	1.329599925712129e-06	4.0105093373479505e-07
ENSP00000006777	RHBDD2	1.5857043460322296e-06	1.3903825089361903e-07
ENSP00000007390	TSR3	1.1779799534940953e-06	6.837962953682801e-08
ENSP00000007722	ITGA3	3.039847752175915e-06	2.7144317465149705e-05
ENSP00000007735	KRT33A	7.281780893929486e-07	1.9299208256589548e-07
ENSP00000008391	TFAP2D	2.5762193579834936e-06	3.86203548020601e-06
ENSP00000008527	CRY1	7.35941889994486e-06	4.731321138334924e-05
ENSP00000008938	PGLYRP1	2.2406726991370272e-06	1.622374650740914e-05
ENSP00000009041	STARD3NL	4.705867008850458e-06	1.354043112767146e-06
ENSP00000009105	CAMK1G	4.545389329906397e-06	8.019261847768465e-06
ENSP00000009530	CD74	5.170445686474434e-05	0.001580954506780294
ENSP00000011292	CPA1	2.998668404928157e-06	4.5475626843416547e-07
ENSP00000011619	RANBP9	1.842362958036975e-06	8.699254838274412e-06
ENSP00000011653	CD4	2.8586323619279204e-06	6.769689751819339e-05
ENSP00000012443	PPP5C	2.4089330421883286e-06	2.880289043183944e-05
ENSP00000013070	UBR7	2.438446635379046e-06	3.9147300033648625e-07
ENSP00000013125	MAP4K5	3.7727678436602377e-06	7.1408103186650325e-06
ENSP00000013222	INMT	3.825901366455155e-06	1.1826306812848548e-06
ENSP00000013807	ERCC1	5.684229937600967e-06	0.00011292638519951234
ENSP00000014930	HEBP1	2.268844094588618e-06	1.543356068116731e-05
ENSP00000016171	COX15	5.5537173988401835e-06	7.647103214617913e-06
ENSP00000016946	RGPD5	8.109879012317793e-05	0.00011699496121310684
ENSP00000017003	XYLT2	9.692905813036738e-06	1.985095727151715e-05
ENSP00000019103	SCTR	2.1917286448325502e-06	1.4881653156429965e-05
ENSP00000019317	RALBP1	2.9882637305845143e-06	1.351183458475043e-05
ENSP00000020673	PSD	6.3068938386033284e-06	3.4002042665477543e-06
ENSP00000020926	SYT13	1.5297852713409365e-06	1.0832749345891647e-07
ENSP00000023064	SLC7A9	1.4561982033439266e-06	1.8818277047186599e-07
ENSP00000023939	RTF2	8.08564638381103e-06	6.544302174414611e-06
ENSP00000025008	RB1CC1	2.8675126254105874e-06	1.3930090777098243e-05
ENSP00000025301	AKAP11	6.807242452371606e-06	7.499214163902014e-06
ENSP00000026218	PIGQ	7.021575044283033e-07	1.091556875758449e-07
ENSP00000027335	CDH17	0.00015097679546398552	0.0014827936609646119
ENSP00000029410	B4GALT7	9.6930122813136e-06	2.0407541492901492e-05
ENSP00000033079	FAM13B	5.2908278731077816e-06	9.642462655094804e-06
ENSP00000035307	CHPF2	1.189664894827656e-05	7.091267100083781e-06
ENSP00000035383		2.1472848329024422e-06	1.0808900696101203e-05
ENSP00000037243	GABARAPL2	1.979198359575915e-06	4.517867121884183e-06
ENSP00000039007	OTC	4.012866199142941e-06	6.277307568902424e-06
ENSP00000040584	HOXC8	3.745691240099994e-06	9.219987869491724e-07
ENSP00000040663	MRI1	1.041376201879789e-06	2.5872913253461725e-07
ENSP00000040738	BOD1L1	0.00012261288324521497	0.00014169672246316535
ENSP00000043402	RTN4R	2.0443895612010564e-06	2.11202218040029e-06
ENSP00000044462	PSMA4	2.072457412528474e-06	3.873890380458699e-05
ENSP00000046794	LCP2	4.11817440629975e-06	6.503470665424096e-05
ENSP00000052754	DCN	1.1546147736962627e-05	9.627375725116286e-05
ENSP00000053243	TNFRSF17	0.0005018116296019035	0.0014800318965592888
ENSP00000053468	MRPS10	1.9373210035429457e-06	8.402656473675217e-07
ENSP00000053867	GRN	2.140195656474233e-06	1.8650271476758455e-05
ENSP00000054650	THAP3	1.4872142698163809e-06	4.2536216337990704e-07
ENSP00000054666	VAMP3	2.3927871358785182e-06	3.315255031301883e-05
ENSP00000054668	UTS2	2.068142853177573e-06	1.3236734850448182e-05
ENSP00000054950	RCN1	2.5625980671058902e-06	2.9454833084759824e-05
ENSP00000055077	RFC2	4.185232025177564e-06	6.93945904655233e-05
ENSP00000055335	PPP1R3F	1.6051664234460488e-06	1.1628970339208754e-06
ENSP00000055682	NEXMIF	1.8908219624133468e-06	2.0401463535420183e-07
ENSP00000056217	ARHGEF5	4.9756310175876465e-06	2.3212473313126215e-05
ENSP00000056233	NFE2L3	6.09023775186061e-06	2.9795466050593567e-06
ENSP00000061240	TLL1	1.1440135338299382e-05	1.9640351914385557e-05
ENSP00000064724	CLDN11	2.7805320476239272e-06	1.1781842576344687e-06
ENSP00000064780	RELT	2.3665290565561526e-06	1.5133431502835786e-06
ENSP00000070846	PKP2	2.2026993915929477e-06	1.5520875506626515e-06
ENSP00000072644	YIPF1	9.678455686981667e-07	1.035610734346537e-07
ENSP00000074304	INPP4A	2.0035401872562564e-06	6.872085178870708e-06
ENSP00000075120	SLC2A3	2.2619058067802656e-06	2.1116259733802373e-05
ENSP00000078429	GNA11	1.689126068552671e-05	0.001579310936785807
ENSP00000078445	CREB3L3	2.2652410205099986e-05	0.00010645592794175292
ENSP00000080059	HDAC7	4.933247964116571e-06	0.000100243798069935
ENSP00000081029	MRPS35	1.9236070258729658e-06	9.312392955133645e-07
ENSP00000083182	APPBP2	5.784534101636886e-06	5.486076399373525e-06
ENSP00000085068	ISOC2	1.015793881744661e-06	1.5017371692397372e-07
ENSP00000085219	CD22	1.2267861883129644e-05	4.452995386098529e-05
ENSP00000155840	KCNQ1	1.696910455074626e-06	6.58423233008006e-06
ENSP00000155926	TRIB2	1.0564672653875069e-05	1.1100499456104705e-05
ENSP00000156084	OTUD5	1.5343731854135858e-06	1.456173525295803e-06
ENSP00000156109	GPKOW	3.915570155303906e-06	8.215666360891766e-05
ENSP00000156471	AQR	2.97881454231882e-06	2.6428110658050812e-05
ENSP00000156626	ST6GALNAC1	1.8277989612150775e-05	1.0755163160004716e-05
ENSP00000157600	LMCD1	3.880104002998766e-05	1.3613058938894843e-05
ENSP00000157812	PSMC4	2.04202584540807e-06	3.801515951715286e-05
ENSP00000158166	CAMKK1	1.4580884818013329e-06	1.021336734240765e-06
ENSP00000158762	ACAP1	3.4231088395636253e-06	6.581464860311807e-06
ENSP00000158771	DERL2	1.9112430451266197e-05	0.00021172348974678098
ENSP00000159060	NOX3	2.2926032801620055e-06	2.0991744324103567e-06
ENSP00000159087	ANO8	2.6582021320678002e-06	2.026761111659732e-05
ENSP00000159111	KDM4B	3.063395661683451e-06	2.2964446859781483e-05
ENSP00000160262	ICAM3	3.06420760360636e-05	7.295409462796626e-05
ENSP00000160373	CTTNBP2	6.434035454279696e-06	2.9333850808701593e-05
ENSP00000160382	ACTL6B	1.839100954880506e-05	0.00013665653057544887
ENSP00000160827	KIF22	2.604948177982847e-06	1.73085867035425e-05
ENSP00000161559	CEACAM1	2.216061760254825e-06	2.0779939771533025e-05
ENSP00000161863	YTHDC2	1.841044332911503e-06	3.5069824247559435e-07
ENSP00000162749	TNFRSF1A	3.3415353820769114e-06	5.328220798754618e-05
ENSP00000163416	GOLGA5	0.00011649701694414496	0.0015846816907601076
ENSP00000164133	PPP2R5B	1.5776470265774953e-06	2.3993205783978842e-05
ENSP00000164139	PYGM	1.0932999264070073e-06	1.2478653000118037e-06
ENSP00000164227	BCL3	0.00028039346210962453	0.0016728607974633766
ENSP00000164305	PIGB	5.874239494241067e-07	5.143261487597728e-08
ENSP00000165524	PRLH	2.598977953244783e-07	1.9024034363775044e-08
ENSP00000166139	FSTL3	2.5317352436042e-05	0.0013446774471798403
ENSP00000166244	EPHA8	7.330044287183633e-06	3.667018198597786e-05
ENSP00000166345	TRIP13	2.5953016956585413e-06	4.085095687649208e-06
ENSP00000167586	KRT14	7.770748869379301e-07	1.7244191302241117e-06
ENSP00000167588	KRT20	7.281780893929481e-07	1.929920825658955e-07
ENSP00000168148	SPP2	2.5058301626764275e-06	2.0016739196101993e-05
ENSP00000168216	HSD17B10	6.9211188790340584e-06	5.0539170843109054e-05
ENSP00000168712	FGF4	4.824167511826422e-06	6.211559965896945e-05
ENSP00000169298	ST6GAL1	1.8625373339686964e-05	1.9059368294707982e-05
ENSP00000169551	TIMM21	4.7032699501283306e-06	6.187679241044819e-06
ENSP00000170150	BPIFB2	2.6582021320678e-06	2.026761111659732e-05
ENSP00000170168	REXO1	4.716693037784803e-06	4.817803445476543e-06
ENSP00000170447	MKRN2	3.4148590771303544e-06	6.75030352976877e-07
ENSP00000170564	GPATCH1	2.4413016271467403e-06	6.717293547593765e-07
ENSP00000171111	KEAP1	9.126583565853313e-06	0.0014597193631625807
ENSP00000171757	P2RY10	2.0677788102942723e-06	1.3210959815906652e-05
ENSP00000171887	TNS1	2.4692074924494887e-06	6.7513323007567095e-06
ENSP00000172229	NGFR	2.014470952483111e-06	2.1861673060274618e-05
ENSP00000173229	NTN1	3.947991937185792e-06	3.144985780168332e-05
ENSP00000173898	TRO	2.3801022395310702e-06	4.7164047080939686e-07
ENSP00000174618	MNT	6.850436294284477e-06	4.9570686995989645e-06
ENSP00000175091	LAPTM4A	1.3931548914560167e-06	3.608150940191112e-07
ENSP00000175506	ASNS	3.506805312723281e-06	5.56409758531901e-06
ENSP00000175756	PTPN18	5.012045839820884e-06	8.850538828300199e-06
ENSP00000176183	DRD4	2.2833597274918087e-06	1.5547730543697898e-05
ENSP00000176195	SCT	2.1917286448325502e-06	1.4881653156429965e-05
ENSP00000176763	STK10	2.0433063599931363e-06	1.151154340224523e-05
ENSP00000177694	TBX21	1.2679272533452776e-05	1.3576928792173177e-05
ENSP00000177742	MRPS34	1.9076267074980822e-06	7.121770344723593e-07
ENSP00000178640	MAP2K5	3.7226405608971793e-06	7.984458002413595e-06
ENSP00000179259	TIGAR	1.612733792470039e-06	1.2060488543519021e-06
ENSP00000180166	FGF20	4.849964914959233e-06	6.145150194455218e-05
ENSP00000180173	MTMR7	1.4485786320341648e-06	5.784262653458885e-07
ENSP00000181383	CPB2	1.2657847963068617e-06	1.226619128605014e-07
ENSP00000181839	CDK13	5.47916475811339e-06	3.0964927083141454e-05
ENSP00000183605	CLDN18	2.7805320476239272e-06	1.1781842576344687e-06
ENSP00000184183	ROPN1	2.169340356926629e-06	2.202482133448137e-06
ENSP00000184266	NDUFB4	4.561283450172509e-06	4.229040520813335e-06
ENSP00000185150	ERLEC1	3.546716957119254e-06	1.2490861456350221e-05
ENSP00000185206	CLIC5	9.340991746138876e-06	1.2092330502711447e-05
ENSP00000188312	ACTR6	3.7153174757419295e-06	3.3331180684060555e-06
ENSP00000188790	FAP	1.3979304709953181e-06	1.530750526032834e-07
ENSP00000194214	HSPB11	2.689167364672296e-06	4.2425488302902764e-06
ENSP00000194530	STRADB	8.181966507766563e-06	3.1696855803930885e-05
ENSP00000196061	PLOD1	1.714247799621586e-05	0.0001834874847155494
ENSP00000196371	OXCT1	2.141889734662765e-05	0.00014828032745794705
ENSP00000196489	ZNF416	3.4992282804329604e-06	2.648606497805346e-06
ENSP00000198536	PILRA	2.826692156634642e-06	3.8691108971760295e-06
ENSP00000198767	RRN3	2.4369111879399647e-06	1.1288040146877997e-05
ENSP00000198801	MOGAT2	2.889960618632642e-06	3.927015945411281e-06
ENSP00000199280	AQP2	2.9178709938461285e-06	7.931124603593049e-06
ENSP00000199320	DIMT1	2.1441047474567476e-06	4.850884830234312e-07
