ENSG00000142207	ENSP00000372199
ENSG00000088930	ENSP00000366396
ENSG00000141425	ENSP00000381984
ENSG00000083520	ENSP00000366997
ENSG00000087301	ENSP00000281741
ENSG00000101182	ENSP00000359910
ENSG00000100290	ENSP00000216115
ENSG00000169895	ENSP00000369500
ENSG00000102349	ENSP00000417303
ENSG00000025293	ENSP00000363124
ENSG00000154723	ENSP00000389649
ENSG00000147082	ENSP00000365210
ENSG00000124721	ENSP00000333363
ENSG00000172817	ENSP00000310721
ENSG00000170677	ENSP00000381034
ENSG00000113387	ENSP00000265073
ENSG00000184486	ENSP00000329170
ENSG00000166090	ENSP00000328111
ENSG00000120057	ENSP00000266066
ENSG00000150459	ENSP00000481842
ENSG00000166169	ENSP00000359181
ENSG00000119684	ENSP00000348020
ENSG00000147669	ENSP00000342889
ENSG00000105135	ENSP00000263383
ENSG00000088888	ENSP00000401980
ENSG00000198753	ENSP00000442736
ENSG00000180879	ENSP00000317331
ENSG00000171451	ENSP00000310565
ENSG00000258674	ENSP00000452549
ENSG00000198033	ENSP00000382982
ENSG00000131771	ENSP00000254079
ENSG00000204291	ENSP00000364140
ENSG00000141429	ENSP00000269195
ENSG00000141759	ENSP00000269601
ENSG00000152413	ENSP00000334382
ENSG00000136944	ENSP00000347684
ENSG00000187164	ENSP00000347532
ENSG00000188690	ENSP00000357787
ENSG00000155918	ENSP00000356310
ENSG00000155229	ENSP00000412698
ENSG00000254505	ENSP00000324205
ENSG00000160563	ENSP00000292035
ENSG00000157510	ENSP00000296721
ENSG00000083123	ENSP00000318351
ENSG00000004838	ENSP00000231749
ENSG00000006007	ENSP00000261386
ENSG00000113552	ENSP00000423674
ENSG00000102387	ENSP00000361998
ENSG00000251201	ENSP00000282382
ENSG00000176273	ENSP00000400932
ENSG00000136830	ENSP00000362409
ENSG00000005175	ENSP00000005386
ENSG00000152556	ENSP00000345771
ENSG00000133124	ENSP00000361202
ENSG00000213759	ENSP00000387683
ENSG00000167114	ENSP00000300456
ENSG00000079974	ENSP00000378958
ENSG00000104369	ENSP00000344488
ENSG00000157881	ENSP00000367727
ENSG00000163029	ENSP00000404092
ENSG00000002746	ENSP00000379228
ENSG00000176555	ENSP00000321447
ENSG00000107185	ENSP00000367318
ENSG00000162512	ENSP00000344468
ENSG00000092108	ENSP00000390783
ENSG00000133639	ENSP00000256015
ENSG00000185686	ENSP00000445675
ENSG00000132872	ENSP00000255224
ENSG00000125835	ENSP00000412566
ENSG00000099953	ENSP00000215743
ENSG00000117971	ENSP00000261751
ENSG00000182348	ENSP00000329638
ENSG00000116954	ENSP00000362092
ENSG00000133773	ENSP00000256151
ENSG00000073921	ENSP00000377015
ENSG00000134007	ENSP00000256389
ENSG00000119682	ENSP00000348714
ENSG00000198856	ENSP00000426167
ENSG00000068079	ENSP00000395590
ENSG00000102882	ENSP00000263025
ENSG00000130741	ENSP00000253039
ENSG00000132855	ENSP00000360170
ENSG00000130005	ENSP00000403536
ENSG00000150687	ENSP00000280258
ENSG00000066135	ENSP00000361473
ENSG00000077684	ENSP00000226319
ENSG00000119953	ENSP00000358616
ENSG00000154957	ENSP00000315664
ENSG00000105339	ENSP00000262585
ENSG00000185070	ENSP00000332879
ENSG00000175931	ENSP00000323687
ENSG00000171502	ENSP00000359603
ENSG00000139915	ENSP00000382178
ENSG00000197181	ENSP00000349208
ENSG00000156427	ENSP00000274625
ENSG00000175183	ENSP00000310901
ENSG00000075188	ENSP00000448054
ENSG00000158604	ENSP00000404042
ENSG00000136535	ENSP00000374205
ENSG00000147813	ENSP00000401508
ENSG00000171517	ENSP00000395389
ENSG00000197891	ENSP00000366797
ENSG00000161914	ENSP00000293771
ENSG00000167880	ENSP00000301607
ENSG00000177600	ENSP00000322419
ENSG00000160360	ENSP00000392828
ENSG00000104918	ENSP00000221515
ENSG00000166825	ENSP00000300060
ENSG00000114859	ENSP00000265593
ENSG00000026950	ENSP00000289361
ENSG00000148671	ENSP00000361083
ENSG00000116815	ENSP00000358501
ENSG00000141294	ENSP00000269025
ENSG00000072682	ENSP00000384999
ENSG00000065802	ENSP00000264607
ENSG00000181472	ENSP00000323183
ENSG00000125447	ENSP00000438085
ENSG00000227057	ENSP00000363746
ENSG00000095303	ENSP00000354612
ENSG00000146826	ENSP00000324741
ENSG00000173545	ENSP00000310042
ENSG00000198121	ENSP00000363553
ENSG00000107779	ENSP00000361107
ENSG00000172795	ENSP00000373715
ENSG00000138386	ENSP00000336894
ENSG00000186469	ENSP00000334448
ENSG00000146757	ENSP00000332595
ENSG00000172661	ENSP00000363482
ENSG00000213199	ENSP00000297512
ENSG00000155100	ENSP00000285420
ENSG00000272047	ENSP00000476100
ENSG00000176393	ENSP00000295640
ENSG00000177098	ENSP00000322460
ENSG00000156976	ENSP00000326381
ENSG00000105538	ENSP00000222145
ENSG00000156973	ENSP00000287600
ENSG00000142449	ENSP00000470498
ENSG00000129514	ENSP00000250448
ENSG00000120915	ENSP00000430269
ENSG00000166912	ENSP00000402537
ENSG00000142330	ENSP00000375844
ENSG00000131738	ENSP00000251646
ENSG00000123739	ENSP00000243501
ENSG00000118972	ENSP00000237837
ENSG00000158169	ENSP00000289081
ENSG00000171942	ENSP00000306095
ENSG00000130202	ENSP00000252483
ENSG00000197646	ENSP00000380855
ENSG00000148082	ENSP00000364995
ENSG00000122257	ENSP00000317872
ENSG00000138796	ENSP00000474560
