id	uKIN	RWR
A0A024R172	5.668115881025402e-07	9.164188031173747e-07
A0A024R1L7	4.2277938436871224e-07	2.4531389750202856e-07
A0A024R3K8	1.2982381380388407e-06	6.84812064255479e-07
A0A024R5S0	5.152084815824009e-07	1.6510257433185139e-06
A0A024R6G0	2.078891355377289e-06	1.6510621116733334e-06
A0A024R8L2	5.952981499335636e-07	1.0879209750407151e-05
A0A024R8V0	3.287435377215547e-06	8.014938052834589e-06
A0A024R8W1	2.9258736505046713e-06	1.1497673200494585e-06
A0A024R9F6	4.94288296983507e-07	3.140010723422869e-07
A0A024RA76	3.7315268996144575e-07	1.7325255871379907e-07
A0A024RBF6	3.298584771034735e-07	6.529728012829863e-08
A0A024RCM5	3.705239443881405e-07	1.7159838045253815e-07
A0A024RCN7	1.921814801234465e-07	1.545595674768226e-08
A0A024RCP2	4.6785291530708765e-07	9.818927183682894e-07
A0A024RCZ4	1.5410959745739118e-06	4.287131573989166e-07
A0A068LRW6	5.12866516579469e-07	2.1736795861512072e-07
A0A075B6P5	5.292611623133696e-07	1.2035293321552487e-07
A0A075B6R9	1.3218061756044123e-06	1.0297674259609578e-06
A0A075B6S2	6.682164926811892e-07	1.0064517971684994e-06
A0A075B6S5	6.107638944915594e-07	1.933333945478138e-07
A0A075B6S6	2.898199018621282e-07	5.626086942287005e-08
A0A075B6Z2	3.27696161405581e-07	6.35375912499367e-08
A0A075B759	3.5062209180595005e-06	8.842461681781267e-07
A0A075B7B6	2.1397762490003104e-06	1.5588269461458012e-06
A0A075B7D8	6.245475402833179e-07	9.34605566957382e-07
A0A087WUL8	1.3639412626788227e-06	7.081716536814027e-05
A0A087WW87	3.880677773799901e-07	6.772182104988859e-07
A0A087WXM9	2.9551981823312657e-07	1.7445071064392486e-07
A0A087WYV9	2.0322525690801402e-07	3.756693031857219e-08
A0A087WZ82	1.3564731844111644e-06	9.752312500300599e-06
A0A087WZY1	3.847230910489638e-07	3.2463368406042234e-07
A0A087X0R7	4.103516950986627e-07	1.9051567549862164e-07
A0A087X1G2	2.9236801207059946e-07	6.000049801775552e-08
A0A096LP01	4.389103101450671e-07	1.235210006638468e-07
A0A096LP39	3.4711160906582966e-07	8.089465509445236e-08
A0A096LP49	8.295621666279545e-07	1.2666475193701966e-05
A0A096LP55	2.507659779098079e-07	6.030026154239743e-08
